2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
420,GB&GR,308,Train Wreck Song is titled after the instrumental.,Juice WRLD,Nick Mira,PrettyBoy Pablo,Shares the same instrumental as 'Drown'.,File Name: Juice - NM Train Session Title: NM Train.ptx,Instrumental: NM - Trainwreck 164BPM MIDI: nm - bring em Beat Pack: juice feb 1,"Penthouse Recording Studio, Times Square, New York City, NY.","Recorded February 3, 2018. File Exported February 5, 2018.","First Previewed May 12, 2023. First Teased February 18, 2018.","Surfaced March 21, 2024. Session Surfaced March 24, 2024.",3:18,Throwaway Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
421,GB&GR,309,Trees* Song is untitled.,Juice WRLD,DJ L Beats & Kid Marquis,Marquis Robinson,Samples Kali Uchis' 'Tyrant' featuring Jorja Smith.,File Name: L 3 1-12-18 Session Title: L 3 1-12-18.ptx,7-11-17 2,"Complex 2010 Recording Studio, China Town, Chicago, IL.","Recorded January 13, 2018.","First Previewed January 16, 2018.","Surfaced May 21, 2021. Session Surfaced September 10, 2023.",2:24,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
422,GB&GR,310,Trick Or Treat Halloween,Juice WRLD,Robert Mefford & Sullivan King,Robert Mefford,-,File Name: TRICK OR TREAT (MIX 1) 154bpm Session Title: 414-3.ptx Folder Title: TRICK OR TREAT,Instrumental: julia - 154bpm Cminor Loop: SK_guitar_loop_dirty_154,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 15, 2018. File Exported April 15, 2018.",-,"Surfaced March 19, 2021. Session Surfaced November 15, 2023.",3:07,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
423,GB&GR,311,Trust Issues,Juice WRLD,Plu2o Nash,Blake Harden,"Originally released on SoundCloud as a single track, but was later removed for unknown reasons.",File Name: TRUST ISSUES_RUFF 1 Session Title (1): SONG 4_JUICE.ptx Session Title (2): TRUST ISSUES.ptx,Phases,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 27, 2018.",-,"Released February 27, 2018. Session Surfaced January 25, 2026.",1:09,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
424,GB&GR,312,Uh-Huh (v1.6),Juice WRLD,Gezin & TM88,Max Lord,-,File Name: juice wrld - un huh v1.6 (kanye house2) Session Title: kanye house 2 v1.6 un huh.ptx Folder Title: kanye house 2,kanye house 2,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 7-8, 2018.",-,"Surfaced December 30, 2019.",3:40,Alternate Demo Track ( Complete ),Original File 320kbps (.mp3)
425,GB&GR,313,Uh-Woah Codeiner Song is titled after the instrumental.,Juice WRLD,"Danny Wolf, Otxhello & Yugi Boi",Thomas Cullison,-,File Name: UHWOAH Session Title: UHWOAH.ptx,uhwoah,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 20, 2018.",-,"Surfaced September 29, 2022.",2:05,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
426,GB&GR,314,Underworld Demon Girl,Juice WRLD,Kirk Knight,James Kang,-,File Name: UNDERWORLD Session Title: SONG4.ptx,mightnotmakeit [prod Kirk Knight] w. tag,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 23, 2018.","First Teased March 23, 2018.","Surfaced June 24, 2018. Session Surfaced December 25, 2025.",3:00,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
427,GB&GR,315,Used To (v1),Juice WRLD,NAGI & Nick Mira,Morgan Lightle,Samples Felt's 'Crescent Moon'.,File Name: use to Session Title (1): Untitled 1 .logicx Session Title (2): use to.logicx,Instrumental: NM - Bunjee 169BPM Loop: Guitar Loop Beat Pack: juice december: late december,"Morgan Lightle's Home Recording Studio, Homewood, Chicago, IL.","Recorded January 8, 2018.","First Previewed January 8, 2018.","Surfaced May 19, 2018. Session Surfaced December 9, 2024.",2:57,Original Demo Track ( Complete ),Studio Session & Original File 160kbps (.mp3)
428,GB&GR,316,Waiting For The Drugs To Hit Me* Song is untitled.,Juice WRLD,The Beat Asylum,Marquis Robinson,-,File Name: Juice 1-29-18 3 Session Title: Juice 1-29-18 3.ptx,1-15-2018-Find You,"Complex 2010 Recording Studio, China Town, Chicago, IL.","Recorded January 29, 2018.",-,"Surfaced May 28, 2018. Session Surfaced September 10, 2023.",2:33,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
429,GB&GR,317,Wandered To L.A. (v1) Song was originally called 'Toxic Hotel Room'.,Juice WRLD,Louis Bell,Louis Bell,-,Juice WRLD - Toxic Hotel Room,,"Electric Feel Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 1, 2018.","First Previewed March 1, 2018. First Teased March 5, 2018.","Surfaced March 9, 2022.",2:28,Original Solo Demo Track ( Complete ),Original File 320kbps (.mp3)
430,GB&GR,318,Wasted (feat. Lil Uzi Vert) [v1],Juice WRLD,Chris Barnett,"Chris Barnett, Eli & Kesha Lee",Song originally began as a solo Juice WRLD track.,Uzi Wasted.wav,Instrumental: Wasted intrumental prod by Cbmix Open Verse File: JuiceWRLD - Wasted_OpnVrs Instrumental Stems: rgdtfyrgdtfyjgkrse,"Juice's Hook, Hook Harmonies & Verse Glass Tree Creative Recording Studio, Downtown, Chicago, IL. Uzi's Verse MilkBoy Recording Studio, Franklin Square, Philadelphia, PA.","Juice's Hook & Verse April 23-24, 2018. Juice's Hook Harmonies April 27, 2018. Uzi's Verse May 16, 2018.","First Previewed May 17, 2018.","Surfaced April 8, 2023.",4:16,Original Feature Demo Track ( Complete ),Original File 125kbps (.m4a)
431,GB&GR,319,Wasted (v1),Juice WRLD,Chris Barnett,Chris Barnett,-,File Name: Juice Wrld - Wasted prod by Cbmix Session Title: cb 1.ptx,Instrumental: Wasted intrumental prod by Cbmix Instrumental Stems: rgdtfyrgdtfyjgkrse,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 23-24, 2018. File Exported April 24, 2018.","First Previewed April 24, 2018.","Surfaced April 3, 2023. Session Surfaced June 28, 2023.",3:22,Original Solo Demo Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 160kbps (.mp3)
432,GB&GR,320,Wasted (v2),Juice WRLD,Chris Barnett,Chris Barnett & Eli,Open verse version of the song which was sent to Lil Uzi Vert.,File Name: JuiceWRLD - Wasted_OpnVrs Session Title: cb 1. original.ptx,Instrumental: Wasted intrumental prod by Cbmix Instrumental Stems: rgdtfyrgdtfyjgkrse,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Hook & Verse April 23-24, 2018. Hook Harmonies April 27, 2018. File Exported April 27, 2018.",-,"Surfaced March 9, 2022. Session Surfaced June 28, 2023. Trackouts Surfaced June 28, 2023.",4:16,Alternate Solo Demo & Misc. Track ( Open Verse ),"Studio Session, Trackout Session & Original Files 1411kbps (.wav) 320kbps (.mp3)"
433,GB&GR,321,Wavy Song is titled after the instrumental.,Juice WRLD,Murda Beatz,James Kang,-,File Name: WAVY MURDA Session Title: SONG6.ptx,wavy murda 150,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 3, 2018.",-,"Surfaced July 16, 2018. Session Surfaced December 19, 2025.",2:59,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
434,GB&GR,322,We Ain't Goin'* (with MadeInTYO) Song is untitled.,Juice WRLD & MadeInTYO,Ronny J,James Kang,-,TOKYO AND JUICE WRLD,,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 25, 2018.","First Previewed April [ ? ], 2018.","Surfaced November 29, 2018.",2:38,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
435,GB&GR,323,What I Live For*,Juice WRLD,CashMoneyAp,Unknown,-,,,"Premier Recording Studio, Midtown West, New York City, NY.","Recorded May 17-18, 2018.","First Previewed February 10, 2024.","Surfaced November 5, 2024.",2:00,Throwaway Track ( Complete ),320kbps (.mp3)
436,GB&GR,324,Whatever Call Me Whenever,Juice WRLD,Nick Mira,Matthew Jacobson & Xavier Daniel,Shares the same instrumental as 'Cite'.,Whatever,Instrumental: NM - Cite 150BPM MIDI: Fleet Loop Stems: Nick Mira - Skies Loop Kit: Nick Mira - Bolt Beat Pack: juice december: late december,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded February 17, 2018.","First Previewed February 17, 2018.","Surfaced November 8, 2024.",3:24,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
437,GB&GR,325,Whole Lotta Shots (with YCJ),Juice WRLD & YCJ,The Beat Asylum,Juice WRLD,"Shares the same instrumental as 'Can't Feel My Face', 'Safe' & 'Slowly'.",File Name: whole lotta shots Session Title: trust no one part 2.recovered.recovered.ptx Folder Title: Trust No One,JUICE XXX,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 25, 2017. File Exported December 25, 2017.",-,"Surfaced November 27, 2023. Session Surfaced December 2, 2023.",3:13,Throwaway Track ( Complete ),Studio Session & Original File 1411kbps (.wav)
438,GB&GR,326,Wild (with D. Savage) Perc Heavy,Juice WRLD & D. Savage,BlackMayo,Kerim Wilhelm,-,File Name: Juice Wrld_Dumb_Slut Session Title: JW Wild Dumb Slut.ptx,"Pi'erre Bourne x Playboi Carti Type Beat ""Balenciaga""","Manhattan Beach Recording Studio, Midtown Manhattan, New York City, NY.","Recorded February 10, 2018.","First Previewed March 11, 2018.","Surfaced December 27, 2025.",1:06,Throwaway Track ( Complete ),320kbps (.mp3)
439,GB&GR,327,Will Come Up,Juice WRLD,Joey88,Juice WRLD,-,Session Title: will.ptx Folder Title: Will,beatasylum12.15.17 guwop ah,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded January 4, 2018.","First Previewed January 17, 2023.","Surfaced September 10, 2023. Session Surfaced September 10, 2023.",3:19,Throwaway Track ( Complete ),Studio Session & Pro Tools Export
440,GB&GR,328,Wishing Well (v1) I Can't Breathe Song was originally called 'Lauryn Hill'.,Juice WRLD,Chopsquad DJ & Dr. Luke,2Fly,-,File Name: LAURYN HILL Session Title (1): JUICY P SESSION 2.ptx Session Title (2): LAURYN HILL.ptx,BOOMINATI DJ 213 (luke),"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 9, 2018. File Exported April 10, 2018.","First Previewed April 10, 2018. First Teased April 10, 2018.","Surfaced October 6, 2019. Session Surfaced June 22, 2022.",3:52,Original Demo Track ( Complete ),Studio Session & Original Files 2304kbps (.wav) 320kbps (.mp3)
441,GB&GR,329,You Ain't Safe (v1),Juice WRLD,Cardo Got Wings & Yung Exclusive,Eli,-,File Name: JuiceWRLD - You Aint Safe_RoughDraft Session Title (1): apr1.ptx Session Title (2): New Template A Room C.ptx,Wiggins BPM155,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 1, 2018. File Exported April 1, 2018.",-,"Surfaced July 25, 2019. Session Surfaced November 15, 2023.",2:28,Original Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
442,GB&GR,330,You Ain't Safe (v2),Juice WRLD,Cardo Got Wings & Yung Exclusive,Justin Craig,-,File Name: You Ain't Safe (JcraigMix) 77.5Bpm Session Title (1): apr1.ptx Session Title (2): New Template A Room C.ptx,Wiggins BPM155,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 1, 2018. File Exported April 2, 2018.",-,"Surfaced November 15, 2023. Session Surfaced November 15, 2023.",2:17,Alternate Demo Track ( Complete ),Studio Session & Original File 1411kbps (.wav)
443,GB&GR,331,Your Loss Girlfriend,Juice WRLD,Nick Mira,Justin Craig,Shares the same instrumental as Convolk's 'It Was You'.,File Name: Your Loss (JcraigMix) 150bpm Session Title: Cries 150.ptx,Instrumental: NM - Cries 150BPM Loop Stems: NM_Lisbon 150 Loop Kit: Nick Mira - Gasolina 2 Beat Pack: Nick Mira - March 18,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded March 26, 2018. File Exported March 26, 2018.","First Previewed March 26, 2018.","Surfaced October 27, 2020. Session Surfaced June 27, 2023.",3:38,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
444,GB&GR,332,Zombie Shit Left 4 Dead,Juice WRLD,Nick Mira,Justin Craig,-,File Name: Zombie Shit (JcraigMix) Session Title: skydive140.ptx,Instrumental: NM - Skydive 140 BPM Beat Pack: Juice August Pack,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded May 1, 2018. File Exported May 1, 2018.",-,"Surfaced April 24, 2021. Session Surfaced August 30, 2023.",1:57,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
446,GB&GR,1,All Alone My Money | New Song was originally untitled.,Juice WRLD,The Beat Asylum,Juice WRLD,Shares the same instrumental as 'Smoke A Half*'.,Session Title: new .ptx,JUICE XX,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 23, 2017.","First Previewed March 19, 2025.","Surfaced July 25, 2025. Session Surfaced January 25, 2026.",3:12,Original Solo Demo Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
447,GB&GR,2,All Alone (with Unhkl Flex) My Money | New Song was originally untitled.,Juice WRLD & Unhkl Flex,The Beat Asylum,Juice WRLD,Shares the same instrumental as 'Smoke A Half*'.,Session Title: new .ptx,JUICE XX,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 23, 2017.",-,"Surfaced January 25, 2026. Session Surfaced January 25, 2026.",3:12,Throwaway Track ( Unexported ) [ Complete ],Studio Session & Pro Tools Export
448,GB&GR,3,Are You Happy? Unload Song is untitled.,Juice WRLD,Danny Wolf & Otxhello,Patrik Ehrenbald-Plummer,Shares the same instrumental as 'Task Force'.,Session Title: JW r-uhappy.ptx,r-uhappy,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 22, 2018.","First Previewed May 24, 2025.","Surfaced December 6, 2025. Session Surfaced December 18, 2025.",3:01,Throwaway Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
449,GB&GR,4,Bottom From Here,Juice WRLD,LiLMexicoBeatz,Justin Craig,"Song is unfinished, contains an open verse.",Session Title (1): Lil Mexico1.ptx Session Title (2): Juice Wrld - Bottom From Here - acapella.ptx,nudyland,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 29, 2018. Acapella File Exported June 5, 2019.","First Previewed August 17, 2023.","Surfaced November 15, 2023. Session Surfaced November 15, 2023.",2:49,Throwaway Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
450,GB&GR,5,Chosen Life's A Book Song is untitled.,Juice WRLD,Murda Beatz,James Kang,Shares the same instrumental as 'Antisocial'.,Session Title: SONG1.ptx,chosen 140,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 2, 2018.","First Previewed February 10, 2024.","Surfaced May 31, 2025. Session Surfaced January 25, 2026.",2:44,Throwaway Track ( Unexported ) [ Complete ],Studio Session & Pro Tools Export
451,GB&GR,6,Cloudy Song is untitled.,Juice WRLD,Nick Mira,2Fly & Max Lord,Shares the same instrumental as 'Game'.,Session Title: Juice NM Cloudy 4.11.18.ptx,Instrumental: NM - Cloudy 140BPM Beat Pack: NM Juice 4.12,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 12, 2018.","First Previewed March 6, 2024.","Surfaced November 11, 2024. Session Surfaced November 11, 2024.",2:17,Scrapped Track ( Unexported ) [ Empty Project File ],Studio Session & Pro Tools Edit
452,GB&GR,7,Confide To* Song is untitled.,Juice WRLD,FKi 1st,2Fly,-,Session Title: SESSION 5.ptx,FKi1st juice 140,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 10, 2018.",-,"Surfaced March 1, 2022. Session Surfaced March 1, 2022.",3:54,Scrapped Track ( Unexported ) [ Empty Project File ],Studio Session & Pro Tools Edit
453,GB&GR,8,Creepin' Song is untitled.,Juice WRLD,Chase Davis & DJ Five1o,Chris Barnett,-,Session Title: juice.ptx,Chase Davis - Creepin Five1o,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded January 27, 2018.",-,"Surfaced June 28, 2023. Session Surfaced June 28, 2023.",2:46,Throwaway Track ( Unexported ) [ Complete ],Studio Session & Pro Tools Export
454,GB&GR,9,"Devil In A Red Dress (v2) Song was originally titled 'FGCHB', after the instrumental.",Juice WRLD,Chris Barnett & Unknown,Chris Barnett & Thomas Cullison,-,Session Title: FGCHB cb.ptx,Juice Wrld - Devil in a red dress (fgchb_3.0_2) instrumental,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 19-20, 2018.",-,"Surfaced August 15, 2023. Session Surfaced August 15, 2023.",2:50,Alternate Demo Track ( Unexported ) [ Complete ],Studio Session & Pro Tools Export
455,GB&GR,10,Freestyle Song is untitled.,Juice WRLD,HazeBanga,James Kang,-,Session Title: SONG1.ptx Folder Title: FREESTYLE,haze 1,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 22, 2018.",-,"Surfaced January 25, 2026. Session Surfaced January 25, 2026.",5:06,Throwaway Track ( Unexported ) [ Complete ],Studio Session & Pro Tools Export
456,GB&GR,11,Fridget Song is untitled.,Juice WRLD,Cardo Got Wings & Yung Exclusive,2Fly,"Song is unfinished, contains an open verse.",Session Title: JUICY P SESSION 1.ptx,FRIDGET BPM137,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 9, 2018.",-,"Surfaced June 28, 2023. Session Surfaced June 28, 2023.",3:05,Scrapped Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
457,GB&GR,12,Go Sick Of You,Juice WRLD,DJ L Beats,Kerim Wilhelm,"Song is unfinished, contains an open verse.",Session Title: Juice Wrld - Go.ptx,7-24-17 3,"Manhattan Beach Recording Studio, Midtown Manhattan, New York City, NY.","Recorded February 8-9, 2018.","First Previewed March 19, 2025.","Surfaced September 16, 2025. Session Surfaced January 25, 2026.",2:51,Throwaway Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
458,GB&GR,13,Good Day* Song is untitled.,Juice WRLD,JuiceMadeThat & Nick Mira,Oz On The Track,"Song is unfinished, contains an open verse.",Session Title: Playlist Temp.ptx,Instrumental: 4-12-18 Loop: nm_shepard_84_v2,"ATS Records Recording Studio, West Loop, Chicago, IL.","Recorded April 16, 2018.",-,"Surfaced June 22, 2022. Session Surfaced June 22, 2022.",3:17,Scrapped Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
459,GB&GR,14,Gorgeous* Forbes List Song is untitled.,Juice WRLD,DJ L Beats,Marquis Robinson,"Song is unfinished, contains an open verse.",Session Title: L 2 1-12-18.ptx,Cdot1,"Complex 2010 Recording Studio, China Town, Chicago, IL.","Recorded January 13, 2018.",-,"Surfaced October 22, 2023. Session Surfaced October 22, 2023.",2:43,Scrapped Track ( Unexported ) [ Open Verse ],Studio Session & Pro Tools Export
